Date,Number,Month,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4
2013-05-20,CC110108002300,5,20.0,0.0,0.0,5.5,5.0,39.5,0.0,95.0
2013-05-27,CC110108002300,5,0.0,0.0,5.5,5.0,39.5,0.0,95.0,14.5
2013-06-03,CC110108002300,6,0.0,5.5,5.0,39.5,0.0,95.0,14.5,0.0
2013-06-10,CC110108002300,6,5.5,5.0,39.5,0.0,95.0,14.5,0.0,0.0
2013-06-17,CC110108002300,6,5.0,39.5,0.0,95.0,14.5,0.0,0.0,0.0
2013-06-24,CC110108002300,6,39.5,0.0,95.0,14.5,0.0,0.0,0.0,0.0
2013-07-01,CC110108002300,7,0.0,95.0,14.5,0.0,0.0,0.0,0.0,0.0
2013-07-08,CC110108002300,7,95.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-15,CC110108002300,7,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-22,CC110108002300,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-29,CC110108002300,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-05,CC110108002300,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12,CC110108002300,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-19,CC110108002300,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
2013-08-26,CC110108002300,8,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0
2013-09-02,CC110108002300,9,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0
2013-09-09,CC110108002300,9,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0
2013-09-16,CC110108002300,9,0.0,0.0,0.0,79.0,0.0,0.0,0.0,17.0
2013-09-23,CC110108002300,9,0.0,0.0,79.0,0.0,0.0,0.0,17.0,76.5
2013-09-30,CC110108002300,9,0.0,79.0,0.0,0.0,0.0,17.0,76.5,0.0
2013-10-07,CC110108002300,10,79.0,0.0,0.0,0.0,17.0,76.5,0.0,0.0
2013-10-14,CC110108002300,10,0.0,0.0,0.0,17.0,76.5,0.0,0.0,0.0
2013-10-21,CC110108002300,10,0.0,0.0,17.0,76.5,0.0,0.0,0.0,0.0
2013-10-28,CC110108002300,10,0.0,17.0,76.5,0.0,0.0,0.0,0.0,0.0
2013-11-04,CC110108002300,11,17.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-11,CC110108002300,11,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-18,CC110108002300,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-25,CC110108002300,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-02,CC110108002300,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-09,CC110108002300,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-16,CC110108002300,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-23,CC110108002300,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-30,CC110108002300,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
2014-01-06,CC110108002300,1,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0
2014-01-13,CC110108002300,1,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0
2014-01-20,CC110108002300,1,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0
2014-01-27,CC110108002300,1,0.0,0.0,0.0,67.0,0.0,0.0,0.0,75.5
2014-02-03,CC110108002300,2,0.0,0.0,67.0,0.0,0.0,0.0,75.5,0.0
2014-02-10,CC110108002300,2,0.0,67.0,0.0,0.0,0.0,75.5,0.0,0.0
2014-02-17,CC110108002300,2,67.0,0.0,0.0,0.0,75.5,0.0,0.0,0.0
2014-02-24,CC110108002300,2,0.0,0.0,0.0,75.5,0.0,0.0,0.0,0.0
2014-03-03,CC110108002300,3,0.0,0.0,75.5,0.0,0.0,0.0,0.0,17.5
