Number,Train,Test
CC110108002300,69,18
CC110208002500,68,18
CC110108004500,68,17
CC110210002800,68,18
CC110208001800,68,18
CC110108004300,69,18
CC110105002300,68,18
CC110108002800,68,17
CC110208003600,68,18
CC110106001800,68,17
CC110108004700,69,18
CC110106004900,69,18
CC1101080,69,18
CC1102080,69,18
CC1102150,69,18
CC1101060,69,18
CC1102200,69,18
CC1101050,69,18
CC1102100,69,18
CC1102120,69,18
CC1102090,68,18
CC1102070,68,18
CC1101040,68,17
CC1102035,68,18
CC1102300,67,17
CC1101100,69,18
CC1102400,69,18
CC1102160,67,17
