Number,Group,Month_date,Month,Mean,t-4,t-3,t-2,t-1,t,t+1,t+2
CC110108002300,0,2013/5/1,11,43.08,20,50,109.5,0,0,79,93.5
CC110108002300,0,2013/6/1,12,55.33,50,109.5,0,0,79,93.5,0
CC110108002300,0,2013/7/1,1,47,109.5,0,0,79,93.5,0,0
CC110108002300,0,2013/8/1,2,28.75,0,0,79,93.5,0,0,67
CC110108002300,0,2013/9/1,3,39.92,0,79,93.5,0,0,67,75.5
CC110108002300,0,2013/10/1,4,52.5,79,93.5,0,0,67,75.5,17.5
CC110108002300,0,2013/11/1,5,42.25,93.5,0,0,67,75.5,17.5,34
CC110108002300,0,2013/12/1,6,32.33,0,0,67,75.5,17.5,34,28.5
CC110108002300,0,2014/1/1,7,37.08,0,67,75.5,17.5,34,28.5,58
CC110108002300,0,2014/2/1,8,46.75,67,75.5,17.5,34,28.5,58,106.5
CC110108002300,0,2014/3/1,9,53.33,75.5,17.5,34,28.5,58,106.5,0
CC110108002300,0,2014/4/1,10,40.75,17.5,34,28.5,58,106.5,0,0
CC110108002300,0,2014/5/1,11,37.83,34,28.5,58,106.5,0,0,40
CC110108002300,0,2014/6/1,12,38.83,28.5,58,106.5,0,0,40,29
CC110108002300,0,2014/7/1,1,38.92,58,106.5,0,0,40,29,91.252
CC110108002300,0,2014/8/1,2,44.46,106.5,0,0,40,29,91.252,6
CC110108002300,0,2014/9/1,3,27.71,0,0,40,29,91.252,6,93.248
CC110108002300,0,2014/10/1,4,43.25,0,40,29,91.252,6,93.248,49.5
CC110108002300,0,2014/11/1,5,51.5,40,29,91.252,6,93.248,49.5,158.5
CC110108002300,0,2014/12/1,6,71.25,29,91.252,6,93.248,49.5,158.5,37
CC110108002300,0,2015/1/1,7,72.58,91.252,6,93.248,49.5,158.5,37,1
CC110108002300,0,2015/2/1,8,57.54,6,93.248,49.5,158.5,37,1,35
CC110108002300,0,2015/3/1,9,62.37,93.248,49.5,158.5,37,1,35,62
CC110108002300,0,2015/4/1,10,57.17,49.5,158.5,37,1,35,62,15
CC110108002300,0,2015/5/1,11,51.42,158.5,37,1,35,62,15,2.51
CC110108002300,0,2015/6/1,12,25.42,37,1,35,62,15,2.51,82.99
CC110108002300,0,2015/7/1,1,33.08,1,35,62,15,2.51,82.99,54
CC110108002300,0,2015/8/1,2,41.92,35,62,15,2.51,82.99,54,4
CC110108002300,0,2015/9/1,3,36.75,62,15,2.51,82.99,54,4,75
CC110108002300,0,2015/10/1,4,38.92,15,2.51,82.99,54,4,75,32.5
CC110108002300,0,2015/11/1,5,41.83,2.51,82.99,54,4,75,32.5,24
CC110108002300,0,2015/12/1,6,45.42,82.99,54,4,75,32.5,24,28.5
CC110108002300,0,2016/1/1,7,36.33,54,4,75,32.5,24,28.5,49
CC110108002300,0,2016/2/1,8,35.5,4,75,32.5,24,28.5,49,61.5
CC110108002300,0,2016/3/1,9,45.08,75,32.5,24,28.5,49,61.5,98
CC110108002300,0,2016/4/1,10,48.92,32.5,24,28.5,49,61.5,98,8
CC110108002300,0,2016/5/1,11,44.83,24,28.5,49,61.5,98,8,23
CC110108002300,0,2016/6/1,12,44.67,28.5,49,61.5,98,8,23,52.5
CC110108002300,0,2016/7/1,1,48.67,49,61.5,98,8,23,52.5,103
CC110108002300,0,2016/8/1,2,57.67,61.5,98,8,23,52.5,103,120.664
CC110108002300,0,2016/9/1,3,67.53,98,8,23,52.5,103,120.664,49.336
CC110108002300,0,2016/10/1,4,59.42,8,23,52.5,103,120.664,49.336,46
CC110108002300,0,2016/11/1,5,65.75,23,52.5,103,120.664,49.336,46,20.5
CC110108002300,0,2016/12/1,6,65.33,52.5,103,120.664,49.336,46,20.5,33
CC110108002300,0,2017/1/1,7,62.08,103,120.664,49.336,46,20.5,33,58.5
CC110108002300,0,2017/2/1,8,54.67,120.664,49.336,46,20.5,33,58.5,67.5
CC110108002300,0,2017/3/1,9,45.81,49.336,46,20.5,33,58.5,67.5,0
CC110108002300,0,2017/4/1,10,37.58,46,20.5,33,58.5,67.5,0,143.5
CC110108002300,0,2017/5/1,11,53.83,20.5,33,58.5,67.5,0,143.5,58
CC110108002300,0,2017/6/1,12,60.08,33,58.5,67.5,0,143.5,58,151.5
CC110108002300,0,2017/7/1,1,79.83,58.5,67.5,0,143.5,58,151.5,97.5
CC110108002300,0,2017/8/1,2,86.33,67.5,0,143.5,58,151.5,97.5,16
CC110108002300,0,2017/9/1,3,77.75,0,143.5,58,151.5,97.5,16,53
CC110108002300,0,2017/10/1,4,86.58,143.5,58,151.5,97.5,16,53,164
CC110108002300,0,2017/11/1,5,90,58,151.5,97.5,16,53,164,0
CC110108002300,0,2017/12/1,6,80.33,151.5,97.5,16,53,164,0,182
CC110108002300,0,2018/1/1,7,85.42,97.5,16,53,164,0,182,0
CC110108002300,0,2018/2/1,8,69.17,16,53,164,0,182,0,28.164
CC110108002300,0,2018/3/1,9,71.19,53,164,0,182,0,28.164,10.836
CC110108002300,0,2018/4/1,10,64.17,164,0,182,0,28.164,10.836,12.4
CC110108002300,0,2018/5/1,11,38.9,0,182,0,28.164,10.836,12.4,63.8
CC110108002300,0,2018/6/1,12,49.53,182,0,28.164,10.836,12.4,63.8,43.8
CC110108002300,0,2018/7/1,1,26.5,0,28.164,10.836,12.4,63.8,43.8,49.2
CC110108002300,0,2018/8/1,2,34.7,28.164,10.836,12.4,63.8,43.8,49.2,5.2
CC110108002300,0,2018/9/1,3,30.87,10.836,12.4,63.8,43.8,49.2,5.2,143.3
CC110108002300,0,2018/10/1,4,52.95,12.4,63.8,43.8,49.2,5.2,143.3,97.5
CC110108002300,0,2018/11/1,5,67.13,63.8,43.8,49.2,5.2,143.3,97.5,85.8
CC110108002300,0,2018/12/1,6,70.8,43.8,49.2,5.2,143.3,97.5,85.8,90
CC110108002300,0,2019/1/1,7,78.5,49.2,5.2,143.3,97.5,85.8,90,63.8
CC110108002300,0,2019/2/1,8,80.93,5.2,143.3,97.5,85.8,90,63.8,50.4
CC110108002300,0,2019/3/1,9,88.47,143.3,97.5,85.8,90,63.8,50.4,207.18
CC110108002300,0,2019/4/1,10,99.11,97.5,85.8,90,63.8,50.4,207.18,158.362
CC110108002300,0,2019/5/1,11,109.26,85.8,90,63.8,50.4,207.18,158.362,141.458
CC110108002300,0,2019/6/1,12,118.53,90,63.8,50.4,207.18,158.362,141.458,85
CC110108002300,0,2019/7/1,1,117.7,63.8,50.4,207.18,158.362,141.458,85,44.5
CC110108002300,0,2019/8/1,2,114.48,50.4,207.18,158.362,141.458,85,44.5,0
CC110108002300,0,2019/9/1,3,106.08,207.18,158.362,141.458,85,44.5,0,218
CC110108002300,0,2019/10/1,4,107.89,158.362,141.458,85,44.5,0,218,127.5
CC110108002300,0,2019/11/1,5,102.74,141.458,85,44.5,0,218,127.5,384.827
CC110108002300,0,2019/12/1,6,143.3,85,44.5,0,218,127.5,384.827,197.243
CC110108002300,0,2020/1/1,7,162.01,44.5,0,218,127.5,384.827,197.243,149.93
CC110108002300,0,2020/2/1,8,179.58,0,218,127.5,384.827,197.243,149.93,159.5
CC110108002300,0,2020/3/1,9,206.17,218,127.5,384.827,197.243,149.93,159.5,23.5
CC110108002300,0,2020/4/1,10,173.75,127.5,384.827,197.243,149.93,159.5,23.5,70
CC110108002300,0,2020/5/1,11,164.17,384.827,197.243,149.93,159.5,23.5,70,137.5
CC110108002300,0,2020/6/1,12,122.95,197.243,149.93,159.5,23.5,70,137.5,251.5
CC110108002300,0,2020/7/1,1,131.99,149.93,159.5,23.5,70,137.5,251.5,835
CC110208002500,0,2013/6/1,12,56.08,14,75.5,66.5,16.5,50,113.95,171.38
CC110208002500,0,2013/7/1,1,82.3,75.5,66.5,16.5,50,113.95,171.38,193
CC110208002500,0,2013/8/1,2,101.89,66.5,16.5,50,113.95,171.38,193,0
CC110208002500,0,2013/9/1,3,90.8,16.5,50,113.95,171.38,193,0,38.62
CC110208002500,0,2013/10/1,4,94.49,50,113.95,171.38,193,0,38.62,82
CC110208002500,0,2013/11/1,5,99.82,113.95,171.38,193,0,38.62,82,0
CC110208002500,0,2013/12/1,6,80.83,171.38,193,0,38.62,82,0,0
CC110208002500,0,2014/1/1,7,52.27,193,0,38.62,82,0,0,22.05
CC110208002500,0,2014/2/1,8,23.78,0,38.62,82,0,0,22.05,78.5
CC110208002500,0,2014/3/1,9,36.86,38.62,82,0,0,22.05,78.5,96
CC110208002500,0,2014/4/1,10,46.42,82,0,0,22.05,78.5,96,17
CC110208002500,0,2014/5/1,11,35.59,0,0,22.05,78.5,96,17,65
CC110208002500,0,2014/6/1,12,46.42,0,22.05,78.5,96,17,65,15.13
CC110208002500,0,2014/7/1,1,48.95,22.05,78.5,96,17,65,15.13,15.87
CC110208002500,0,2014/8/1,2,47.92,78.5,96,17,65,15.13,15.87,64.5
CC110208002500,0,2014/9/1,3,45.58,96,17,65,15.13,15.87,64.5,0
CC110208002500,0,2014/10/1,4,29.58,17,65,15.13,15.87,64.5,0,0
CC110208002500,0,2014/11/1,5,26.75,65,15.13,15.87,64.5,0,0,29
CC110208002500,0,2014/12/1,6,20.75,15.13,15.87,64.5,0,0,29,0
CC110208002500,0,2015/1/1,7,18.23,15.87,64.5,0,0,29,0,16
CC110208002500,0,2015/2/1,8,18.25,64.5,0,0,29,0,16,30.22
CC110208002500,0,2015/3/1,9,12.54,0,0,29,0,16,30.22,16
CC110208002500,0,2015/4/1,10,15.2,0,29,0,16,30.22,16,0
CC110208002500,0,2015/5/1,11,15.2,29,0,16,30.22,16,0,51.78
CC110208002500,0,2015/6/1,12,19,0,16,30.22,16,0,51.78,119.5
CC110208002500,0,2015/7/1,1,38.92,16,30.22,16,0,51.78,119.5,108.5
CC110208002500,0,2015/8/1,2,54.33,30.22,16,0,51.78,119.5,108.5,227
CC110208002500,0,2015/9/1,3,87.13,16,0,51.78,119.5,108.5,227,81.5
CC110208002500,0,2015/10/1,4,98.05,0,51.78,119.5,108.5,227,81.5,0
CC110208002500,0,2015/11/1,5,98.05,51.78,119.5,108.5,227,81.5,0,64
