Actual,SS
49.2,449.44827
97.5,454.5197
85.8,449.0906
90.0,469.75647
63.8,471.22247
50.4,461.3217
85.0,479.93378
44.5,461.96243
70.0,483.00916
80.5,415.0018
140.322,539.8343
25.2,423.3829
178.0,534.69543
30.4,415.0018
244.0,416.03577
182.5,512.3781
70.0,473.84286
264.0,440.6303
36.0,537.3276
90.4,478.15048
138.0,417.25284
144.6,471.15424
175.5,546.63025
176.0,507.38812
153.0,451.63687
203.0,415.0018
245.0,518.26874
152.8,444.54044
17.3,443.77023
96.0,415.0018
120.0,415.0018
269.0,415.0018
146.5,415.0018
294.0,437.594
280.0,476.35672
260.0,478.85223
67.4,459.88168
56.4,493.56796
68.1,455.47632
149.7,456.4895
106.2,446.91434
93.0,490.78174
82.0,446.7911
14.5,434.65317
45.0,415.0018
43.0,415.0018
150.8,517.1237
206.0,536.2131
142.8,557.4688
122.1,415.0018
198.5,486.475
146.5,542.2466
180.0,476.79575
146.0,415.0018
17.0,415.0018
322.9,539.6535
347.6,575.6487
231.6,419.5785
299.5,607.3979
30.0,452.4909
5.5,726.7931
245.0,443.49677
71.5,415.0018
508.7,415.0018
483.5,446.65057
92.3,449.74078
374.7,486.5342
3.0,474.38443
444.0,447.47473
224.0,436.40808
465.0,415.0018
468.0,426.98956
215.401,456.92538
33.083,415.0018
157.793,545.19293
220.5,495.92715
118.0,415.0018
227.0,448.4548
137.5,489.1415
39.5,435.6321
73.5,538.351
575.5,415.0018
49.5,577.94147
425.5,485.8373
331.422,523.30853
139.4,455.0444
112.5,415.0018
8.5,731.04584
536.5,945.3082
4.0,821.5877
187.0,423.561
110.5,540.09424
197.0,415.0018
190.127,433.69946
184.0,415.0018
135.0,499.90558
77.0,525.76807
161.0,485.40753
164.0,418.1658
7.2,466.05258
6.0,503.09366
0.0,415.0018
2.8,415.0018
8.0,552.60754
0.0,415.0018
0.0,415.0018
0.0,592.44257
504.0,415.0018
504.0,469.17175
0.0,415.0018
372.0,658.83215
430.0,441.61005
0.0,536.57025
4424.21,599.951
4189.377,415.0018
4360.549,415.0018
3016.5,882.30475
4404.6,415.0018
3541.37,838.2264
2618.63,415.0018
4139.3,658.3777
3889.089,415.0018
1683.98,466.86203
884.452,415.0018
1824.485,415.0018
1312.464,775.31085
802.46,989.36975
893.9,437.73035
2433.358,438.8565
1837.6,415.0018
2437.5,415.0018
1077.437,415.0018
1148.009,995.6161
2077.081,697.15784
1836.471,415.0018
1842.966,689.66077
1664.813,895.738
1775.4,762.79315
1746.0,415.0018
2078.77,867.19714
1084.7,632.01917
967.4,415.0018
421.4,466.90054
391.1,459.15314
985.4,500.37555
799.7,415.0018
957.3,452.1268
462.417,415.0018
985.0,415.0018
982.623,837.38586
1021.0,415.0018
501.049,624.4274
936.866,415.0018
1351.022,415.0018
768.325,415.0018
836.675,1129.3958
1150.5,926.53394
718.085,415.0018
600.1,485.03055
439.8,487.49496
825.0,415.0018
766.696,415.0018
764.212,560.9932
718.077,415.0018
682.5,415.0018
661.5,415.0018
685.2,415.0018
1488.5,468.10214
1897.3,415.0018
1905.651,415.0018
1380.549,437.00217
1385.2,415.0018
1465.5,415.0018
1617.3,415.0018
1071.0,415.0018
1696.5,415.0018
740.0,415.0018
1033.2,633.40625
342.3,415.0018
736.246,415.0018
736.0,659.3566
1501.458,510.55264
218.0,415.0018
288.0,595.951
871.5,787.3425
692.331,454.51538
540.3,430.1791
708.0,415.0018
570.8,555.49274
693.0,415.0018
570.0,415.0018
761.0,597.4934
517.909,415.0018
226.5,459.78625
180.3,536.4517
277.1,445.85654
88.036,415.0018
245.0,415.0018
255.463,429.55112
145.6,415.0018
253.5,415.0018
248.0,499.70657
110.5,471.91516
258.0,497.91074
291.2,526.5941
154.6,438.2438
136.0,544.59174
370.2,415.0018
443.0,415.0018
250.5,505.72003
99.1,476.0003
322.4,696.89386
182.9,538.6523
287.5,479.71768
471.5,415.0018
391.5,480.8861
404.0,480.658
204.0,461.41748
441.0,629.81177
418.0,415.0018
377.0,792.50006
55.0,617.6083
58.4,415.0018
1054.944,935.0825
1011.0,449.6753
297.0,415.0018
509.0,415.0018
734.5,451.32474
263.0,1066.1428
892.0,415.0018
79.0,415.0018
64.5,437.10437
31.0,491.95236
28.5,475.96783
16.0,451.74515
20.0,531.2755
34.0,468.21188
57.0,480.0743
57.5,447.4223
410.345,540.0457
412.0,415.0018
218.064,518.88257
686.4,415.0018
483.0,415.0018
339.896,462.60037
294.432,480.997
677.0,415.0018
472.0,430.6424
45.0,415.0018
161.0,415.0018
207.8,415.0018
246.4,415.0018
181.6,446.4353
214.0,415.0018
162.735,648.4467
206.265,449.9523
258.5,459.5459
