Actual,SS
49.2,395.71143
97.5,395.71143
85.8,395.71143
90.0,395.71143
63.8,395.71143
50.4,395.71143
85.0,395.71143
44.5,440.89087
70.0,395.71143
80.5,491.3108
140.322,462.7079
25.2,395.71143
178.0,395.71143
30.4,429.66122
244.0,499.89893
182.5,539.43506
70.0,418.56473
264.0,411.13916
36.0,452.2645
90.4,402.88565
138.0,431.94977
144.6,395.71143
175.5,395.71143
176.0,418.24652
153.0,474.86572
203.0,521.44495
245.0,433.62766
152.8,395.71143
17.3,395.71143
96.0,395.71143
120.0,395.71143
269.0,395.71143
146.5,544.962
294.0,558.4042
280.0,493.22803
260.0,472.77417
67.4,395.71143
56.4,395.71143
68.1,395.71143
149.7,395.71143
106.2,395.71143
93.0,395.71143
82.0,395.71143
14.5,395.71143
45.0,426.8358
43.0,418.08197
150.8,395.71143
206.0,395.71143
142.8,399.53387
122.1,431.38873
198.5,468.40057
146.5,395.71143
180.0,395.71143
146.0,482.51755
17.0,612.34
322.9,626.2511
347.6,450.3802
231.6,462.8766
299.5,556.8085
30.0,623.7332
5.5,421.71194
245.0,423.06543
71.5,574.661
508.7,401.73605
483.5,410.39365
92.3,427.81708
374.7,412.751
3.0,395.71143
444.0,395.71143
224.0,395.71143
465.0,395.71143
468.0,395.71143
215.401,395.71143
33.083,395.71143
157.793,431.95667
220.5,395.71143
118.0,395.71143
227.0,395.71143
137.5,395.71143
39.5,395.71143
73.5,395.71143
575.5,481.33643
49.5,526.9927
425.5,548.5962
331.422,577.1438
139.4,441.07672
112.5,967.03955
8.5,827.0864
536.5,478.19818
4.0,421.48694
187.0,395.71143
110.5,395.71143
197.0,404.78763
190.127,395.71143
184.0,395.71143
135.0,410.75775
77.0,395.71143
161.0,395.71143
164.0,395.71143
7.2,395.71143
6.0,395.71143
0.0,420.05505
2.8,395.71143
8.0,395.71143
0.0,488.5335
0.0,487.66418
0.0,487.85803
504.0,586.73267
504.0,526.61066
0.0,637.0131
372.0,527.96375
430.0,519.0809
0.0,480.38834
4424.21,2025.7114
4189.377,2331.7114
4360.549,2455.7114
3016.5,2379.7114
4404.6,2163.7114
3541.37,2239.7114
2618.63,2679.7114
4139.3,2927.7114
3889.089,2579.7114
1683.98,1125.9614
884.452,1535.7114
1824.485,946.7114
1312.464,1363.2114
802.46,816.0864
893.9,549.814
2433.358,641.10205
1837.6,889.0864
2437.5,948.1489
1077.437,1580.7114
1148.009,1255.7114
2077.081,1359.7114
1836.471,1432.9614
1842.966,1123.4614
1664.813,1685.7114
1775.4,1763.7114
1746.0,1679.7114
2078.77,1681.7114
1084.7,572.2053
967.4,735.59155
421.4,712.3364
391.1,606.4614
985.4,663.2114
799.7,758.96533
957.3,695.0864
462.417,1008.03174
985.0,1663.7114
982.623,894.4614
1021.0,1043.3989
501.049,1080.8989
936.866,734.8052
1351.022,1565.7114
768.325,1374.7114
836.675,1181.7114
1150.5,867.4614
718.085,1222.3364
600.1,770.4614
439.8,625.2307
825.0,621.23883
766.696,729.4614
764.212,782.7114
718.077,1658.5864
682.5,1004.2114
661.5,1477.8364
685.2,937.6987
1488.5,725.3364
1897.3,982.2739
1905.651,1267.7114
1380.549,1336.7114
1385.2,1312.7114
1465.5,1344.9614
1617.3,1438.2114
1071.0,1106.2114
1696.5,1595.7114
740.0,573.8989
1033.2,552.3989
342.3,783.9927
736.246,1003.4614
736.0,830.2114
1501.458,1048.5864
218.0,1517.7114
288.0,932.7114
871.5,818.7114
692.331,534.8052
540.3,740.9614
708.0,651.1177
570.8,684.6958
693.0,849.7114
570.0,674.2739
761.0,766.1255
517.909,761.2739
226.5,563.9553
180.3,395.71143
277.1,452.3258
88.036,469.396
245.0,395.71143
255.463,458.19693
145.6,623.1958
253.5,540.3364
248.0,502.35986
110.5,543.478
258.0,395.71143
291.2,395.71143
154.6,395.71143
136.0,395.71143
370.2,560.7382
443.0,498.41235
250.5,478.16907
99.1,442.66238
322.4,426.40588
182.9,474.37903
287.5,412.32104
471.5,547.10486
391.5,604.4614
404.0,688.8364
204.0,802.7114
441.0,582.5239
418.0,684.7114
377.0,446.44077
55.0,395.71143
58.4,842.22705
1054.944,644.60205
1011.0,665.8052
297.0,1138.7896
509.0,1362.5864
734.5,833.7114
263.0,909.9614
892.0,823.2114
79.0,395.71143
64.5,395.71143
31.0,395.71143
28.5,395.71143
16.0,395.71143
20.0,395.71143
34.0,395.71143
57.0,395.71143
57.5,395.71143
410.345,473.4068
412.0,537.5359
218.064,462.7359
686.4,395.71143
483.0,395.71143
339.896,395.71143
294.432,395.71143
677.0,515.6095
472.0,587.5239
45.0,395.71143
161.0,395.71143
207.8,395.71143
246.4,395.71143
181.6,417.1927
214.0,425.08646
162.735,401.68048
206.265,395.71143
258.5,440.01004
