Number,Type,Date,Amount
CC110016000000,261,2015/8/27,-116
CC110016000000,261,2015/9/28,-116
CC110016000000,261,2015/9/28,-70
CC110016000000,261,2015/11/2,-115
CC110016000000,261,2016/5/4,-105.8
CC110016000000,261,2016/5/10,-64
CC110016000000,261,2016/7/18,-127
CC110016000000,261,2016/8/22,-210
CC110016000000,261,2016/9/12,-219.3
CC110016000000,261,2016/9/18,-84
CC110016000000,261,2016/11/22,-348
CC110016000000,261,2017/3/2,-295.1
CC110016000000,261,2017/8/8,-166
CC110016000000,261,2017/8/28,-241.2
CC110016000000,261,2017/9/15,-288
CC110016000000,261,2017/9/15,-79
CC110016004950,261,2013/5/11,-169
CC110016004950,262,2013/5/11,57
CC110016004950,261,2013/6/4,-57
CC110016004950,261,2013/6/18,-170
CC110016004950,201,2014/9/5,-326.2
CC110016004950,202,2014/9/6,326.2
CC110016004950,261,2014/9/16,-107
CC110016004950,262,2014/9/19,60
CC110016004950,261,2014/10/15,-60
CC110016004950,261,2015/2/27,-51
CC110016004950,261,2015/3/4,-2.4
CC110016004950,261,2015/5/4,-56
CC110016004950,261,2015/6/10,-52.8
CC110016004950,261,2015/6/10,-49.2
CC110016004950,261,2015/6/16,-0.8
CC110016004950,261,2015/7/14,-7
CC110016004950,261,2015/7/14,-23
CC110016004950,261,2015/7/14,-82
CC110016004950,261,2015/7/17,-2.7
CC110016004950,261,2015/8/24,-50
CC110016004950,261,2015/8/26,-10
CC110016004950,261,2015/10/16,-61
CC110016004950,261,2015/10/21,-60
CC110016004950,261,2015/11/30,-43
CC110016004950,261,2015/12/1,-29
CC110016004950,261,2016/1/22,-102
CC110016004950,261,2016/1/22,-51
CC110016004950,261,2016/1/31,-4
CC110016004950,261,2016/7/18,-65
CC110016004950,261,2016/7/20,-4
CC110016004950,201,2016/8/15,-10
CC110016004950,261,2016/8/19,-43
CC110016004950,261,2016/8/22,-123
CC110016004950,201,2016/9/12,-6
CC110016004950,261,2016/11/22,-74
CC110016004950,261,2016/11/22,-223
CC110016004950,261,2016/11/28,-20
CC110016004950,201,2017/1/3,-2.5
CC110016004950,201,2017/1/4,-1.5
CC110016004950,543,2017/2/26,-29.405
CC110016004950,543,2017/3/31,-47.595
CC110016004950,543,2017/3/31,-239.352
CC110016004950,543,2017/4/14,-18.297
CC110016004950,261,2017/9/15,-145
CC110016004950,261,2017/9/15,-349
CC110016004950,543,2017/9/26,-22.351
CC110016004950,201,2017/12/18,-2
CC110016004950,261,2018/4/25,-346
CC110016004950,261,2018/5/3,-65
CC110016004950,261,2018/8/8,-297
CC110016004950,261,2018/8/21,-8
CC110016004950,201,2018/10/25,-13
