Number,Month_date,Month,Mean,t-4,t-3,t-2,t-1,t,t+1,t+2
CC110108002300,2013-05-01,11,43.08,20.0,50.0,109.5,0.0,0.0,79.0,93.5
CC110108002300,2013-06-01,12,55.33,50.0,109.5,0.0,0.0,79.0,93.5,0.0
CC110108002300,2013-07-01,1,47.0,109.5,0.0,0.0,79.0,93.5,0.0,0.0
CC110108002300,2013-08-01,2,28.75,0.0,0.0,79.0,93.5,0.0,0.0,67.0
CC110108002300,2013-09-01,3,39.92,0.0,79.0,93.5,0.0,0.0,67.0,75.5
CC110108002300,2013-10-01,4,52.5,79.0,93.5,0.0,0.0,67.0,75.5,17.5
CC110108002300,2013-11-01,5,42.25,93.5,0.0,0.0,67.0,75.5,17.5,34.0
CC110108002300,2013-12-01,6,32.33,0.0,0.0,67.0,75.5,17.5,34.0,28.5
CC110108002300,2014-01-01,7,37.08,0.0,67.0,75.5,17.5,34.0,28.5,58.0
CC110108002300,2014-02-01,8,46.75,67.0,75.5,17.5,34.0,28.5,58.0,106.5
CC110108002300,2014-03-01,9,53.33,75.5,17.5,34.0,28.5,58.0,106.5,0.0
CC110108002300,2014-04-01,10,40.75,17.5,34.0,28.5,58.0,106.5,0.0,0.0
CC110108002300,2014-05-01,11,37.83,34.0,28.5,58.0,106.5,0.0,0.0,40.0
CC110108002300,2014-06-01,12,38.83,28.5,58.0,106.5,0.0,0.0,40.0,29.0
CC110108002300,2014-07-01,1,38.92,58.0,106.5,0.0,0.0,40.0,29.0,91.25200000000001
CC110108002300,2014-08-01,2,44.46,106.5,0.0,0.0,40.0,29.0,91.25200000000001,6.0
CC110108002300,2014-09-01,3,27.71,0.0,0.0,40.0,29.0,91.25200000000001,6.0,93.248
CC110108002300,2014-10-01,4,43.25,0.0,40.0,29.0,91.25200000000001,6.0,93.248,49.5
CC110108002300,2014-11-01,5,51.5,40.0,29.0,91.25200000000001,6.0,93.248,49.5,158.5
CC110108002300,2014-12-01,6,71.25,29.0,91.25200000000001,6.0,93.248,49.5,158.5,37.0
CC110108002300,2015-01-01,7,72.58,91.25200000000001,6.0,93.248,49.5,158.5,37.0,1.0
CC110108002300,2015-02-01,8,57.54,6.0,93.248,49.5,158.5,37.0,1.0,35.0
CC110108002300,2015-03-01,9,62.37,93.248,49.5,158.5,37.0,1.0,35.0,62.0
CC110108002300,2015-04-01,10,57.17,49.5,158.5,37.0,1.0,35.0,62.0,15.0
CC110108002300,2015-05-01,11,51.42,158.5,37.0,1.0,35.0,62.0,15.0,2.51
CC110108002300,2015-06-01,12,25.42,37.0,1.0,35.0,62.0,15.0,2.51,82.99000000000001
CC110108002300,2015-07-01,1,33.08,1.0,35.0,62.0,15.0,2.51,82.99000000000001,54.0
CC110108002300,2015-08-01,2,41.92,35.0,62.0,15.0,2.51,82.99000000000001,54.0,4.0
CC110108002300,2015-09-01,3,36.75,62.0,15.0,2.51,82.99000000000001,54.0,4.0,75.0
CC110108002300,2015-10-01,4,38.92,15.0,2.51,82.99000000000001,54.0,4.0,75.0,32.5
CC110108002300,2015-11-01,5,41.83,2.51,82.99000000000001,54.0,4.0,75.0,32.5,24.0
CC110108002300,2015-12-01,6,45.42,82.99000000000001,54.0,4.0,75.0,32.5,24.0,28.5
CC110108002300,2016-01-01,7,36.33,54.0,4.0,75.0,32.5,24.0,28.5,49.0
CC110108002300,2016-02-01,8,35.5,4.0,75.0,32.5,24.0,28.5,49.0,61.5
CC110108002300,2016-03-01,9,45.08,75.0,32.5,24.0,28.5,49.0,61.5,98.0
CC110108002300,2016-04-01,10,48.92,32.5,24.0,28.5,49.0,61.5,98.0,8.0
CC110108002300,2016-05-01,11,44.83,24.0,28.5,49.0,61.5,98.0,8.0,23.0
CC110108002300,2016-06-01,12,44.67,28.5,49.0,61.5,98.0,8.0,23.0,52.5
CC110108002300,2016-07-01,1,48.67,49.0,61.5,98.0,8.0,23.0,52.5,103.0
CC110108002300,2016-08-01,2,57.67,61.5,98.0,8.0,23.0,52.5,103.0,120.664
CC110108002300,2016-09-01,3,67.53,98.0,8.0,23.0,52.5,103.0,120.664,49.336
CC110108002300,2016-10-01,4,59.42,8.0,23.0,52.5,103.0,120.664,49.336,46.0
CC110108002300,2016-11-01,5,65.75,23.0,52.5,103.0,120.664,49.336,46.0,20.5
CC110108002300,2016-12-01,6,65.33,52.5,103.0,120.664,49.336,46.0,20.5,33.0
CC110108002300,2017-01-01,7,62.08,103.0,120.664,49.336,46.0,20.5,33.0,58.5
CC110108002300,2017-02-01,8,54.67,120.664,49.336,46.0,20.5,33.0,58.5,67.5
CC110108002300,2017-03-01,9,45.81,49.336,46.0,20.5,33.0,58.5,67.5,0.0
CC110108002300,2017-04-01,10,37.58,46.0,20.5,33.0,58.5,67.5,0.0,143.5
CC110108002300,2017-05-01,11,53.83,20.5,33.0,58.5,67.5,0.0,143.5,58.0
CC110108002300,2017-06-01,12,60.08,33.0,58.5,67.5,0.0,143.5,58.0,151.5
CC110108002300,2017-07-01,1,79.83,58.5,67.5,0.0,143.5,58.0,151.5,97.5
CC110108002300,2017-08-01,2,86.33,67.5,0.0,143.5,58.0,151.5,97.5,16.0
CC110108002300,2017-09-01,3,77.75,0.0,143.5,58.0,151.5,97.5,16.0,53.0
CC110108002300,2017-10-01,4,86.58,143.5,58.0,151.5,97.5,16.0,53.0,164.0
CC110108002300,2017-11-01,5,90.0,58.0,151.5,97.5,16.0,53.0,164.0,0.0
CC110108002300,2017-12-01,6,80.33,151.5,97.5,16.0,53.0,164.0,0.0,182.0
CC110108002300,2018-01-01,7,85.42,97.5,16.0,53.0,164.0,0.0,182.0,0.0
CC110108002300,2018-02-01,8,69.17,16.0,53.0,164.0,0.0,182.0,0.0,28.164
CC110108002300,2018-03-01,9,71.19,53.0,164.0,0.0,182.0,0.0,28.164,10.836
CC110108002300,2018-04-01,10,64.17,164.0,0.0,182.0,0.0,28.164,10.836,12.4
CC110108002300,2018-05-01,11,38.9,0.0,182.0,0.0,28.164,10.836,12.4,63.8
CC110108002300,2018-06-01,12,49.53,182.0,0.0,28.164,10.836,12.4,63.8,43.8
CC110108002300,2018-07-01,1,26.5,0.0,28.164,10.836,12.4,63.8,43.8,49.2
CC110108002300,2018-08-01,2,34.7,28.164,10.836,12.4,63.8,43.8,49.2,5.200000000000001
CC110108002300,2018-09-01,3,30.87,10.836,12.4,63.8,43.8,49.2,5.200000000000001,143.3
CC110108002300,2018-10-01,4,52.95,12.4,63.8,43.8,49.2,5.200000000000001,143.3,97.5
CC110108002300,2018-11-01,5,67.13,63.8,43.8,49.2,5.200000000000001,143.3,97.5,85.8
CC110108002300,2018-12-01,6,70.8,43.8,49.2,5.200000000000001,143.3,97.5,85.8,90.0
CC110108002300,2019-01-01,7,78.5,49.2,5.200000000000001,143.3,97.5,85.8,90.0,63.800000000000004
CC110108002300,2019-02-01,8,80.93,5.200000000000001,143.3,97.5,85.8,90.0,63.800000000000004,50.400000000000006
CC110108002300,2019-03-01,9,88.47,143.3,97.5,85.8,90.0,63.800000000000004,50.400000000000006,207.18
CC110108002300,2019-04-01,10,99.11,97.5,85.8,90.0,63.800000000000004,50.400000000000006,207.18,158.36200000000002
CC110108002300,2019-05-01,11,109.26,85.8,90.0,63.800000000000004,50.400000000000006,207.18,158.36200000000002,141.458
