Number,dem_non-zero,ratio
CC110108002300,179,0.072119259
CC110108004500,169,0.06809025
CC110208002500,144,0.058017728
CC110208003600,139,0.056003223
CC110105002300,136,0.054794521
CC110108004700,134,0.053988719
CC110108002800,133,0.053585818
CC110208001800,129,0.051974214
CC110106001800,123,0.049556809
CC110108004000,121,0.048751007
CC110210002800,119,0.047945205
CC110108004300,116,0.046736503
CC110106004900,115,0.046333602
CC110108003400,110,0.044319098
CC110215004750,108,0.043513296
CC110203504500,105,0.042304593
CC110215003050,102,0.04109589
CC110108002850,100,0.040290089
CC110215002700,100,0.040290089
CC110220004600,100,0.040290089
