t+5,t+6,t+7,t+8
14.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,79.0
0.0,0.0,79.0,0.0
0.0,79.0,0.0,0.0
79.0,0.0,0.0,0.0
0.0,0.0,0.0,17.0
0.0,0.0,17.0,76.5
0.0,17.0,76.5,0.0
17.0,76.5,0.0,0.0
76.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,67.0
0.0,0.0,67.0,0.0
0.0,67.0,0.0,0.0
67.0,0.0,0.0,0.0
0.0,0.0,0.0,75.5
0.0,0.0,75.5,0.0
0.0,75.5,0.0,0.0
75.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,17.5
0.0,0.0,17.5,0.0
0.0,17.5,0.0,34.0
17.5,0.0,34.0,0.0
0.0,34.0,0.0,0.0
34.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0
0.0,0.0,7.0,21.5
0.0,7.0,21.5,10.0
7.0,21.5,10.0,14.0
21.5,10.0,14.0,0.0
10.0,14.0,0.0,34.0
14.0,0.0,34.0,0.0
0.0,34.0,0.0,0.0
34.0,0.0,0.0,57.0
0.0,0.0,57.0,0.0
0.0,57.0,0.0,49.5
57.0,0.0,49.5,0.0
0.0,49.5,0.0,0.0
49.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,17.0
0.0,0.0,17.0,0.0
0.0,17.0,0.0,0.0
17.0,0.0,0.0,23.0
0.0,0.0,23.0,29.0
0.0,23.0,29.0,0.0
23.0,29.0,0.0,0.0
29.0,0.0,0.0,0.0
0.0,0.0,0.0,3.04
0.0,0.0,3.04,1.46
0.0,3.04,1.46,54.04
3.04,1.46,54.04,0.0
1.46,54.04,0.0,32.71
54.04,0.0,32.71,6.0
0.0,32.71,6.0,0.0
32.71,6.0,0.0,0.0
6.0,0.0,0.0,0.0
0.0,0.0,0.0,61.0
0.0,0.0,61.0,5.0
0.0,61.0,5.0,16.0
61.0,5.0,16.0,11.25
5.0,16.0,11.25,49.0
16.0,11.25,49.0,0.0
11.25,49.0,0.0,0.5
49.0,0.0,0.5,0.0
0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0
0.0,0.0,0.0,27.0
0.0,0.0,27.0,127.5
0.0,27.0,127.5,4.0
27.0,127.5,4.0,37.0
127.5,4.0,37.0,0.0
4.0,37.0,0.0,0.0
37.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,4.0
0.0,0.0,4.0,31.0
0.0,4.0,31.0,0.0
4.0,31.0,0.0,0.0
31.0,0.0,0.0,0.0
0.0,0.0,0.0,61.0
0.0,0.0,61.0,1.0
0.0,61.0,1.0,0.0
61.0,1.0,0.0,0.0
1.0,0.0,0.0,15.0
0.0,0.0,15.0,0.0
0.0,15.0,0.0,0.0
15.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,2.0,0.51
0.0,2.0,0.51,0.0
2.0,0.51,0.0,0.0
0.51,0.0,0.0,17.0
0.0,0.0,17.0,0.0
0.0,17.0,0.0,45.99
17.0,0.0,45.99,19.0
0.0,45.99,19.0,1.0
45.99,19.0,1.0,0.0
19.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,54.0
0.0,0.0,54.0,0.0
0.0,54.0,0.0,0.0
54.0,0.0,0.0,4.0
0.0,0.0,4.0,0.0
0.0,4.0,0.0,0.0
4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,34.0
0.0,0.0,34.0,41.0
0.0,34.0,41.0,3.0
34.0,41.0,3.0,12.0
41.0,3.0,12.0,17.5
3.0,12.0,17.5,0.0
12.0,17.5,0.0,0.0
17.5,0.0,0.0,8.0
0.0,0.0,8.0,0.0
0.0,8.0,0.0,0.0
8.0,0.0,0.0,16.0
0.0,0.0,16.0,0.0
0.0,16.0,0.0,28.5
16.0,0.0,28.5,0.0
0.0,28.5,0.0,0.0
28.5,0.0,0.0,5.0
0.0,0.0,5.0,44.0
0.0,5.0,44.0,0.0
5.0,44.0,0.0,0.0
44.0,0.0,0.0,0.0
0.0,0.0,0.0,50.0
0.0,0.0,50.0,10.0
0.0,50.0,10.0,0.0
50.0,10.0,0.0,1.5
10.0,0.0,1.5,0.0
0.0,1.5,0.0,0.0
1.5,0.0,0.0,97.0
0.0,0.0,97.0,1.0
0.0,97.0,1.0,0.0
97.0,1.0,0.0,0.0
1.0,0.0,0.0,2.0
0.0,0.0,2.0,6.0
0.0,2.0,6.0,1.5
2.0,6.0,1.5,0.0
6.0,1.5,0.0,12.83
1.5,0.0,12.83,0.0
0.0,12.83,0.0,8.67
12.83,0.0,8.67,0.0
0.0,8.67,0.0,12.5
8.67,0.0,12.5,30.0
0.0,12.5,30.0,10.0
12.5,30.0,10.0,45.0
30.0,10.0,45.0,58.0
10.0,45.0,58.0,0.0
45.0,58.0,0.0,0.0
58.0,0.0,0.0,0.0
0.0,0.0,0.0,25.0
0.0,0.0,25.0,34.5
0.0,25.0,34.5,61.16
25.0,34.5,61.16,8.34
34.5,61.16,8.34,0.0
61.16,8.34,0.0,6.0
8.34,0.0,6.0,0.0
0.0,6.0,0.0,35.0
6.0,0.0,35.0,0.0
0.0,35.0,0.0,46.0
35.0,0.0,46.0,0.0
0.0,46.0,0.0,0.0
46.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.16
0.0,0.0,8.16,12.34
0.0,8.16,12.34,0.0
8.16,12.34,0.0,0.0
12.34,0.0,0.0,33.0
0.0,0.0,33.0,0.0
0.0,33.0,0.0,0.0
33.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,43.0
0.0,0.0,43.0,15.5
0.0,43.0,15.5,0.0
43.0,15.5,0.0,46.0
15.5,0.0,46.0,0.0
0.0,46.0,0.0,21.5
46.0,0.0,21.5,0.0
0.0,21.5,0.0,0.0
21.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,14.16
0.0,0.0,14.16,69.34
0.0,14.16,69.34,32.16
14.16,69.34,32.16,27.84
69.34,32.16,27.84,41.0
32.16,27.84,41.0,17.0
27.84,41.0,17.0,0.0
41.0,17.0,0.0,26.5
17.0,0.0,26.5,86.0
0.0,26.5,86.0,29.5
26.5,86.0,29.5,9.5
86.0,29.5,9.5,0.0
29.5,9.5,0.0,0.0
9.5,0.0,0.0,0.0
0.0,0.0,0.0,20.0
0.0,0.0,20.0,2.16
0.0,20.0,2.16,75.34
20.0,2.16,75.34,0.0
2.16,75.34,0.0,0.0
75.34,0.0,0.0,0.0
0.0,0.0,0.0,16.0
0.0,0.0,16.0,0.0
0.0,16.0,0.0,0.0
16.0,0.0,0.0,48.0
0.0,0.0,48.0,5.0
0.0,48.0,5.0,0.0
48.0,5.0,0.0,89.0
5.0,0.0,89.0,52.16
0.0,89.0,52.16,22.84
89.0,52.16,22.84,0.0
52.16,22.84,0.0,0.0
22.84,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,91.0
0.0,0.0,91.0,91.0
0.0,91.0,91.0,0.0
91.0,91.0,0.0,0.0
91.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0
0.0,0.0,4.0,0.0
0.0,4.0,0.0,24.16
4.0,0.0,24.16,0.0
0.0,24.16,0.0,0.0
24.16,0.0,0.0,0.0
0.0,0.0,0.0,10.16
0.0,0.0,10.16,0.67
