Number,Count
CC110108002300,203
CC110105002300,175
CC110108004500,174
CC110208003600,171
CC110108004000,167
CC110106001800,163
CC110108002800,158
CC110208002500,148
CC110108004400,145
CC110208001800,145
CC110108004700,140
CC110215004750,128
CC110106004900,127
CC110108004300,122
CC110210002800,121
CC110208001620,119
CC110108002850,119
CC110104002400,119
CC110108003400,118
CC110215007500,116
CC110215003050,114
CC110208002020,114
CC110209010200,114
CC110203504500,112
CC110220004600,111
CC110220003600,108
CC110212005800,107
CC110207002100,105
CC110209003250,105
CC110208001400,105
CC110105002750,104
CC110210005000,104
CC110215005100,104
CC110106002300,100
CC110215002700,99
CC110208003750,99
CC110208002100,98
CC110203502850,98
CC110209004150,98
CC110105003100,94
CC110208002900,92
CC110105003000,90
CC110208001900,89
CC110210003000,88
CC110108003950,87
CC110108002350,86
CC110104004950,84
CC110104004300,84
CC110209005800,84
CC110105003400,83
CC110220005600,83
CC110105005300,82
CC110108002650,82
CC110108003600,81
CC110104004050,81
CC110108004800,81
CC110106002150,81
CC110106003500,80
CC110230006750,78
CC110108003300,78
CC110108003550,77
CC110108002250,76
CC110207005500,76
CC110208004500,76
CC110108001650,74
CC110208004700,74
CC110207003550,74
CC110210005600,73
CC110215003750,72
CC110210004500,71
CC110105004700,71
CC110210004100,70
CC110215008000,70
CC110108008350,69
CC110105001350,69
CC110240008150,69
CC11024000410M,68
CC110210004450,68
CC110230006100,68
CC110210003600,68
CC110208003500,66
CC110215006300,65
CC110108002600,65
CC110208002400,65
CC110216003070,65
CC110105004500,65
CC110104003400,64
CC110106001500,64
CC110207001420,63
CC110215003800,63
CC110108006000,63
CC110210006700,63
CC110108003150,62
CC110208005150,62
CC110109002200,62
CC110215005150,62
CC110208004000,61
CC110210002200,61
CC110210002450,61
CC110105001800,61
CC110250009300,61
CC110235004200,59
CC110215003500,59
CC110210002900,59
CC110209002900,59
CC110109002900,58
CC110105001200,58
CC110208002650,58
CC110108001900,57
CC110110001480,56
CC110212002060,56
CC110203503250,56
CC110210009800,55
CC110215006000,55
CC110106003400,54
CC110108002000,54
CC110225006400,54
CC110108002400,51
CC110215004650,51
CC110207001900,50
CC110208001420,50
CC110108004200,50
CC110220002390,50
CC110212003900,50
CC110207004500,49
CC110210006200,49
CC110105004900,49
CC110108003750,48
CC110105003700,47
CC110215003400,47
CC110108008000,47
CC110108001500,47
CC110025005650,46
CC110208004200,46
CC110120002200,46
CC110208005200,45
CC110016008400,45
CC110106002250,45
CC110108002200,45
CC110108002900,44
CC110208004250,44
CC110104002700,44
CC110108002750,44
CC110212002600,43
CC110215002600,43
CC110212002500,43
CC110215005750,42
CC110208001500,42
CC110216003060,42
CC110208004800,41
CC110106001900,40
CC110208002800,40
CC110215004550,40
CC110110002050,40
CC110225006900,40
CC110109001550,40
CC110215003000,39
CC110225003800,39
CC110115005750,38
CC110016004950,38
CC110105004400,38
CC110209003050,38
CC110106002900,38
CC110215007100,38
CC110210002500,38
CC110108005150,38
CC110109002300,37
CC110208004300,35
CC110215003700,35
CC110215004900,35
CC110110003000,35
CC110212003550,34
CC110108004900,34
CC110212005000,34
CC110220007450,34
CC110208003700,33
CC110108003200,33
CC110209002400,33
CC110215004950,33
CC110203504900,33
CC110250006500,33
CC110115001500,32
CC110208006100,32
CC110105003800,32
CC110215005000,32
CC110115003050,32
CC110104002350,32
CC110208002700,32
CC110208002300,31
CC110220018000,31
CC110106004700,30
CC110216003750,30
CC110230004400,30
CC110250005700,30
CC110208003400,30
CC110230005800,29
CC110208001700,29
CC110240005900,29
CC110220003100,29
CC110210002600,29
CC110106002200,28
CC110220004250,28
CC110208002150,28
CC110208003300,28
CC110210003200,28
CC110106004400,27
CC110212003400,27
CC110208002950,27
CC110208008450,26
CC110210009050,25
CC110215004400,25
CC110215006900,25
CC110210001850,25
CC110225003600,25
CC110208004100,25
CC110106003800,25
CC110016005100,24
CC110230007800,24
CC110207001650,24
CC110208004350,24
CC110215005650,24
CC110208004750,23
CC110210004800,23
CC110209004050,23
CC110210002400,23
CC110212012100,23
CC110108007200,23
CC110212004300,22
CC110208005500,22
CC110240008100,22
CC110203502200,22
CC110108005900,22
CC110210006800,22
CC110210007500,22
CC110208006000,22
CC110208002850,21
CC110230005250,21
CC110210003900,21
CC110210002000,21
CC110220002250,20
CC110216010400,20
CC110110002400,20
CC110212006800,20
CC110220006200,20
CC110210009150,19
CC110110003900,19
CC110208007000,19
CC110104001650,19
CC110108003350,18
CC110210009900,18
CC110106002800,18
CC110104002100,18
CC110220003040,18
CC110220003800,18
CC110105002600,18
CC110105001400,18
CC110208005700,17
CC110208004600,17
CC110108003000,17
CC110207008200,17
CC110220005050,17
CC110220004300,17
CC110250009800,17
CC110105001100,17
CC110210008800,16
CC110208006250,16
CC110210004600,16
CC110210005300,16
CC110207002150,16
CC110250006300,16
CC110212009400,16
CC110110005750,16
CC110208004150,16
CC110105001550,16
CC110212006200,16
CC110208011600,15
CC110210008200,15
CC110108001800,15
CC110210006500,15
CC110215005800,15
CC110207001600,15
CC110212006400,15
CC110207002450,15
CC110212003800,15
CC110106009700,15
CC110020003300,15
CC110030003000,15
CC110210011200,15
CC110208008200,14
CC110208008000,14
CC110106003600,14
CC110210010400,14
CC110210010800,14
CC110212004900,14
CC110209004300,14
CC110220005250,13
CC110210008250,13
CC110108001420,13
CC110230012400,13
CC110210011500,13
CC110212002200,13
CC110212002900,13
CC110106001600,13
CC110250010300,13
CC110208002000,12
CC110208007100,12
CC110212005300,12
CC110207005700,12
CC110104004100,12
CC110212005600,12
CC110207008000,12
CC110210008750,12
CC110216013000,12
CC110106005500,11
CC110210003700,11
CC110216010750,11
CC110210007300,11
CC110212009500,11
CC110209003500,11
CC110220002380,11
CC110210004850,11
CC110212007800,11
CC110208001600,11
CC110210008100,11
CC110216009600,11
CC110216004950,11
CC110203502300,11
CC110210011250,10
CC110108002100,10
CC110209003750,10
CC110210009100,10
CC110106003650,10
CC110108003450,10
CC110220007200,10
CC110208003800,10
CC110210005750,10
CC110208005900,9
CC110210007100,9
CC110106001400,9
CC110210009200,9
CC110208006500,9
CC110210006450,9
CC110203501950,9
CC110208005400,9
CC110110002500,9
CC110208008100,9
CC110208009000,9
CC110108005400,9
CC110220006050,9
CC110220007100,9
CC110025005100,9
CC110215003600,8
CC110210009500,8
CC110106005750,8
CC110108001600,8
CC110212006000,8
CC110208006050,8
CC110215008500,8
CC110106003100,8
CC110210005250,8
CC110020004250,8
CC110240006400,8
CC110025009200,8
CC110110001800,8
CC110220005670,8
CC110210004750,8
CC110208008500,8
CC110105001500,7
CC110208007900,7
CC110212003300,7
CC110210007200,7
CC110208007250,7
CC110105002400,7
CC110109005300,7
CC110105002000,7
CC110115003000,7
CC110108006600,7
CC110106007500,7
CC110210013350,7
CC110106001450,7
CC110106005200,7
CC110208002600,6
CC110250007700,6
CC110212012150,6
CC110215001480,6
CC110108007400,6
CC110210008300,6
CC110108007250,6
CC110208007700,6
CC110212002000,6
CC110108006750,6
CC110208005000,6
CC110215002900,5
CC110208005600,5
CC110108007000,5
CC110106002600,5
CC110212010300,5
CC110240009400,5
CC110104002500,5
CC110106002400,5
CC110215005400,5
CC110210001480,5
CC110106004200,5
CC110207004300,5
CC110212010200,5
CC110216002450,5
CC110207005550,5
CC110207007650,5
CC110205001800,5
CC110205003100,5
CC110104001750,5
CC110108005850,5
CC110240005600,4
CC110216003500,4
CC110240004100,4
CC110210004650,4
CC110108002500,4
CC110108003500,4
CC110106004500,4
CC110106002500,4
CC110212003100,4
CC110212003350,4
CC110215002300,4
CC110207005200,4
CC110106005800,3
CC110210001800,3
CC110110005000,3
CC110040007000,3
CC110106006000,3
CC110208007800,3
CC110220005000,3
CC110210003800,3
CC110207002000,3
CC110207007100,3
CC110212002400,3
CC110212011500,3
CC110208007400,3
CC110215007600,3
CC110104003500,3
CC110105002200,3
CC110212003600,3
CC110207006950,3
CC110104003250,3
CC110240007000,3
CC110115003700,3
CC110108007800,3
CC110106004300,3
CC110106005300,3
CC110214004850,3
CC110104002000,3
CC110212001400,3
CC110106004050,3
CC110203002200,3
CC110106005700,3
CC110209001550,2
CC110220003300,2
CC110220002600,2
CC110104002250,2
CC110106007000,2
CC110207001850,2
CC110220005800,2
CC110107004500,2
CC110215003300,2
CC110105001450,2
CC110210007900,2
CC110240008300,2
CC110203002150,2
CC110215004700,2
CC110020005500,2
CC110203003750,2
CC110208002750,2
CC110210001450,2
CC110203013200,2
CC110203001500,2
CC110105002150,2
CC110212007900,2
CC110207003800,2
CC110115005100,2
CC110108001250,2
CC110103504500,2
CC110104002850,2
CC110104001450,1
CC110110006200,1
CC110104002550,1
CC110210005100,1
CC110120002390,1
CC110200018000,1
CC110203001200,1
CC110110004450,1
CC110108001400,1
CC110214003850,1
CC110110004100,1
CC110215004000,1
CC110203002700,1
CC110110002450,1
CC110203004300,1
CC110108001620,1
CC110216001900,1
CC110206001800,1
CC110108001950,1
CC110108002020,1
CC110108002150,1
CC110210004200,1
CC110210004150,1
CC110205004700,1
CC110205003700,1
CC110235006800,0
CC110230005300,0
CC110225005300,0
CC110108006800,0
CC110208009750,0
CC110240008400,0
CC110214006050,0
CC110235005800,0
CC110208002250,0
CC110240007100,0
CC110208002550,0
CC110105001650,0
